ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,log_price,daily_log_return
000001.SH,20000607,1935.031,1934.376,1940.22,1921.383,1925.544,9.487,0.4927,15579417.0,15843602.043,7.567878626007388,0.004914821806030645
000001.SH,20000608,1925.206,1937.195,1938.554,1913.365,1935.031,-9.825,-0.5077,16329804.0,15226676.579,7.562788253983416,-0.005090372023971668
000001.SH,20000609,1900.787,1926.15,1929.946,1896.061,1925.206,-24.419,-1.2684,14933370.0,14353959.653,7.550023289919349,-0.012764964064066575
000001.SH,20000612,1912.557,1896.428,1912.589,1884.616,1900.787,11.77,0.6192,12040094.0,12487747.476,7.5561963691781315,0.006173079258782188
000001.SH,20000613,1938.674,1918.192,1938.674,1917.19,1912.557,26.117,1.3656,14427653.0,13872238.435,7.569759513206592,0.013563144028460705
000001.SH,20000614,1932.29,1944.44,1949.171,1929.706,1938.674,-6.384,-0.3293,16156317.0,15923456.041,7.566461107027726,-0.003298406178866564
000001.SH,20000615,1942.285,1933.059,1942.326,1925.914,1932.29,9.995,0.5173,14116760.0,14026909.881,7.571620394005404,0.005159286977677979
000001.SH,20000616,1926.944,1945.698,1947.463,1919.403,1942.285,-15.341,-0.7898,14707552.0,14588988.165,7.563690607275957,-0.007929786729446775
000001.SH,20000619,1915.205,1924.693,1926.981,1910.469,1926.944,-11.739,-0.6092,11881126.0,12038242.081,7.557579945493701,-0.006110661782256166
000001.SH,20000620,1895.348,1913.074,1913.074,1888.082,1915.205,-19.857,-1.0368,10136096.0,9752541.966,7.547157741817503,-0.010422203676197839
000001.SH,20000621,1913.131,1894.779,1913.147,1894.634,1895.348,17.783,0.9382,8348911.0,8754411.909,7.55649644592475,0.009338704107246798
000001.SH,20000622,1913.901,1918.164,1921.148,1906.304,1913.131,0.77,0.0402,9059592.0,9545648.575,7.556898846537229,0.0004024006124794255
000001.SH,20000623,1939.627,1915.307,1939.634,1913.65,1913.901,25.726,1.3442,11998918.0,12747644.406,7.570250965530267,0.013352118993037898
000001.SH,20000626,1948.639,1946.698,1953.339,1943.248,1939.627,9.012,0.4646,14068044.0,14136452.22,7.574886459160247,0.004635493629979948
000001.SH,20000627,1942.898,1949.778,1952.455,1938.135,1948.639,-5.741,-0.2946,11980047.0,11628690.66,7.57193595185948,-0.002950507300766958
000001.SH,20000628,1947.481,1943.984,1953.064,1940.054,1942.898,4.583,0.2359,11239541.0,12112091.755,7.574292021599751,0.0023560697402711384
000001.SH,20000629,1937.261,1949.847,1951.126,1924.473,1947.481,-10.22,-0.5248,11919842.0,12264637.833,7.569030398779958,-0.005261622819793033
000001.SH,20000630,1928.106,1937.843,1941.402,1924.969,1937.261,-9.155,-0.4726,12467578.0,12624403.845,7.564293452912299,-0.004736945867659159
000001.SH,20000703,1895.637,1917.442,1917.447,1890.528,1928.106,-32.469,-1.684,15784736.0,11983824.358,7.547310208788783,-0.016983244123515817
000001.SH,20000704,1907.931,1891.205,1907.944,1888.249,1895.637,12.294,0.6485,14407820.0,8581330.934,7.553774687832304,0.0064644790435206545
000001.SH,20000705,1909.187,1910.42,1918.909,1904.468,1907.931,1.256,0.0658,13029434.0,8073743.377,7.554432775973843,0.0006580881415390039
000001.SH,20000706,1902.552,1909.237,1910.054,1896.659,1909.187,-6.635,-0.3475,9931141.0,8824960.214,7.550951421819609,-0.0034813541542337845
000001.SH,20000707,1932.792,1904.085,1932.829,1904.085,1902.552,30.24,1.5894,11682904.0,10742165.498,7.566720868659082,0.01576944683947268
000001.SH,20000710,1948.021,1938.843,1948.063,1932.955,1932.792,15.229,0.7879,14524625.0,14072031.63,7.574569264431847,0.007848395772765748
000001.SH,20000711,1960.541,1952.259,1960.595,1947.666,1948.021,12.52,0.6427,14438392.0,14391813.845,7.580975734546102,0.006406470114254326
000001.SH,20000712,1973.374,1965.231,1974.414,1960.349,1960.541,12.833,0.6546,13919525.0,14906316.252,7.5875000471057055,0.006524312559603729
000001.SH,20000713,1979.201,1978.552,1984.066,1963.553,1973.374,5.827,0.2953,18162113.0,19350098.901,7.590448506892744,0.0029484597870386153
000001.SH,20000714,1987.192,1981.776,1987.223,1972.622,1979.201,7.991,0.4037,16215860.0,16334687.399,7.5944778659661605,0.004029359073416394
000001.SH,20000717,1982.479,1992.894,1997.938,1980.223,1987.192,-4.713,-0.2372,13508787.0,15661437.203,7.592103360766898,-0.002374505199262522
000001.SH,20000718,1993.986,1982.497,1993.994,1981.736,1982.479,11.507,0.5804,8780023.0,11080578.748,7.597890929433946,0.005787568667048326
